image,ground_truth,prediction,CER_score
test001_1.jpg,B 9140 BCD,5140 BCD,0.25
test001_2.jpg,B 2407 UZO,B 2407 UZO,0.0
test001_3.jpg,B 2842 PKM,2862PKM,0.25
test002_1.jpg,BG 1352 AE,BC 1352 AE,0.125
test003_1.jpg,B 2634 UZF,B 2634 UZF,0.0
test003_2.jpg,B 1995 JVK,B 1995 JUK,0.125
test004_1.jpg,B 9062 VEH,9062 VEH,0.125
test005_1.jpg,DD 8798 KM,3798 KM,0.375
test006_1.jpg,T 1329 KC,10,0.8571
test007_1.jpg,AD 8865 EE,8865,0.5
test008_1.jpg,DK 1157 AAB,DK 1157 AAB,0.0
test008_2.jpg,AA 1997 FE,AA 1997 FE,0.0
test009_1.jpg,H 8518 NA,H 8518 NA,0.0
test009_2.jpg,K 1649 GB,1649 GB,0.1429
test010_1.jpg,B 9416 PCN,B 9416 PCN,0.0
test010_2.jpg,H 1147 UY,H 1147 UY,0.0
test011_1.jpg,H 1691 IL,1691IL,0.1429
test011_2.jpg,B 9374 RI,9374,0.4286
test011_3.jpg,D 1204 AIG,D 1204 AIG,0.0
test012_1.jpg,E 1887 BA,E 187 BA,0.1429
test013_1.jpg,B 1439 UZP,1439 UZP,0.125
test013_2.jpg,B 1128 WOS,1,0.875
test014_1.jpg,B 1388 DFX,B 1388 OFX,0.125
test015_1.jpg,AD 1798 BT,AD 1798 BT,0.0
test016_1.jpg,E 1517 DQ,E 1517,0.2857
test017_1.jpg,AD 8982 FS,8982 FS,0.25
test018_1.jpg,L 7603 UA,L 7603 UA,0.0
test019_1.jpg,AD 7 HS,AD 7 HS,0.0
test019_2.jpg,B 1959 WYK,B 1959 WYK,0.0
test020_1.jpg,AG 8634 EK,AC 8634 EK,0.125
test020_2.jpg,AD 1329 PY,1328 PY,0.375
test021_1.jpg,BA 1709 DW,BA 1709 DW,0.0
test021_2.jpg,W 1236 VZ,W 1236 VZ,0.0
test022_1.jpg,W 1825 OZ,1825,0.4286
test022_2.jpg,L 1202 UE,L 1202 VE,0.1429
test022_3.jpg,L 3823 IB,3823,0.4286
test023_1.jpg,B 1730 JLO,B 1730 JLO,0.0
test024_1.jpg,B 2964 TRU,B 2964 TRU,0.0
test025_1.jpg,S 5585 LP,5585 LP,0.1429
test025_2.jpg,L 2858 RR,2858 RR,0.1429
test025_3.jpg,W 1185 ZO,W 1185,0.2857
test025_4.jpg,9840 VU,9840 VU,0.0
test026_1.jpg,N 9652 DF,N 9652 DF,0.0
test026_2.jpg,L 3836 ZX,L 3836 ZX,0.0
test027_1.jpg,N 1905 IG,N 1905 IG,0.0
test027_2.jpg,B 1109 CLR,B 1109 CLR,0.0
test027_3.jpg,L 1840 AA,L 1840,0.2857
test028_1.jpg,L 1438 EO,1438,0.4286
